,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
862,34,26,8,0,0,349,102,73,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,10.26,349.0,76.47,0,1
863,612,295,257,0,0,2728,2353,919,0,0,0,0,990,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,4.46,2728.0,48.2,0,1
864,438,232,188,0,411730,2035,1712,557,0,0,0,0,706,0,0,0,0,0,0,0.0,0,0,0,0,68,165,197,68,87,310,178,232,183,153,259,344,1.19,4.65,0.3,52.97,240,1
865,65,43,22,0,0,321,153,72,0,0,0,0,88,0,0,0,0,0,0,0.0,0,0,0,0,19,25,32,19,53,49,46,62,26,61,31,42,2.1,4.94,321.0,66.15,0,1
866,85,43,15,0,98713,500,253,102,0,0,0,0,113,0,0,0,0,0,0,0.0,0,0,0,0,27,68,57,27,201,72,0,112,58,38,37,142,1.98,5.88,0.3,50.59,390,1
867,373,198,149,0,209080,1741,1612,530,0,0,0,0,659,0,0,0,0,0,0,0.0,0,0,0,0,3,5,15,3,2,34,4,9,17,11,4,26,1.08,4.67,0.5,53.08,129,1
868,407,210,195,2,428929,1216,1085,423,0,0,0,0,572,0,0,0,0,0,0,0.0,0,0,0,0,114,449,104,114,383,160,154,648,141,143,561,162,1.12,2.99,0.17,51.6,395,1
869,66,39,27,0,1833383,245,210,1913,0,0,0,0,1627,0,0,0,0,0,0,0.0,0,0,0,0,5,3,4,5,14,26,7,6,19,12,4,21,1.17,3.71,0.01,59.09,8730,1
870,214,116,98,0,0,1094,919,299,0,0,0,0,361,0,0,0,0,0,0,0.0,0,0,0,0,181,214,123,181,163,87,134,201,223,196,119,95,1.19,5.11,1094.0,54.21,0,1
871,195,112,83,0,262053,880,644,255,0,0,0,0,271,0,0,0,0,0,0,0.0,0,0,0,0,140,177,157,140,84,242,241,156,109,101,160,210,1.37,4.51,0.2,57.44,406,1
